sample_id,cells_in_cluster23,fraction_of_cluster23,fraction_of_that_sample,sample_median_total_counts,cohort
EEM-scRNA-289,2278,0.7823,0.5492,4141.0,tracing
EEM-scRNA-181,389,0.1336,0.0604,5419.0,annotated
EEM-scRNA-118,205,0.0704,0.043,7071.0,annotated
EEM-scRNA-172,25,0.0086,0.0053,8464.0,annotated
EEM-scRNA-113,4,0.0014,0.0012,5166.0,annotated
EEM-scRNA-238,3,0.001,0.0006,6051.0,annotated
EEM-scRNA-237,2,0.0007,0.0003,7005.0,annotated
EEM-scRNA-116,2,0.0007,0.0004,9762.0,annotated
EEM-scRNA-117,1,0.0003,0.0002,10209.0,annotated
EEM-scRNA-239,1,0.0003,0.0001,6922.0,annotated
EEM-scRNA-251,1,0.0003,0.0002,5085.0,tracing
EEM-scRNA-292,1,0.0003,0.0003,11143.0,tracing
