gene,absent_from_reference,Confetti,Red2Kras,Areg-flox/+,Areg-flox/flox,verdict
Acta2,False,0.3506,0.3074,0.2786,0.2149,collapses
Col13a1,False,0.5813,0.2715,0.4802,0.6544,Areg-independent
Fst,False,0.0518,0.1271,0.3361,0.1425,collapses
Npnt,False,0.7384,0.3619,0.5364,0.6901,unchanged or higher
Pdgfra,False,0.8325,0.6567,0.9168,0.9408,Areg-independent
Pdgfrb,False,0.1271,0.165,0.4519,0.3886,Areg-independent
Runx1,False,0.146,0.177,0.5599,0.5434,Areg-independent
Runx2,False,0.0303,0.0326,0.1754,0.0691,collapses
Scube2,False,0.5285,0.2096,0.3361,0.5056,unchanged or higher
Tcf21,False,0.7882,0.6221,0.5076,0.7257,unchanged or higher
Tnc,False,0.1118,0.1138,0.1828,0.1381,collapses
