gene	transcript_id	feature	start	end	tss	parent_ids	eligible
PDPN	NM_198389.2	transcript	13025716	13059901	13025716	PDPN	True
PDPN	NM_006474.5	transcript	13025791	13059901	13025791	PDPN	True
PDPN	XM_006710295.2	transcript	13026225	13059901	13026225	PDPN	True
PDPN	XM_024451404.2	transcript	13026225	13059901	13026225	PDPN	True
PDPN	XM_047434471.1	transcript	13026225	13059901	13026225	PDPN	True
PDPN	NM_001006624.2	transcript	13027416	13059901	13027416	PDPN	True
PDPN	NM_001006625.2	transcript	13027416	13059901	13027416	PDPN	True
PDPN	NM_001385053.1	transcript	13027416	13059901	13027416	PDPN	True
SFN	NM_006142.5	transcript	26701223	26702527	26701223	SFN	True
ATF3	NM_001030287.4	transcript	211810344	211865710	211810344	ATF3	True
ATF3	XM_011509579.2	transcript	211851925	211865710	211851925	ATF3	True
ATF3	NM_001040619.3	transcript	211853698	211865710	211853698	ATF3	True
ATF3	NM_001206484.3	transcript	211853698	211865710	211853698	ATF3	True
ATF3	NM_001206488.3	transcript	211853698	211865710	211853698	ATF3	True
ATF3	NM_001674.4	transcript	211853698	211865710	211853698	ATF3	True
ATF3	XM_005273146.2	transcript	211853698	211865710	211853698	ATF3	True
ATF3	NM_001206486.2	transcript	211859954	211865712	211859954	ATF3	True
ATF3	XM_047421211.1	transcript	211863906	211865710	211863906	ATF3	True
SFTPB	NM_001367281.1	transcript	85659364	85670255	85670254	SFTPB	True
SFTPB	NM_198843.3	transcript	85659364	85670797	85670796	SFTPB	True
SFTPB	NM_000542.5	transcript	85659371	85670255	85670254	SFTPB	True
SFTPB	XM_005264488.5	transcript	85660780	85670255	85670254	SFTPB	True
SFTPB	XM_047445415.1	transcript	85660780	85670255	85670254	SFTPB	True
SFTPB	XM_047445414.1	transcript	85660780	85670797	85670796	SFTPB	True
SFTPB	XM_005264490.5	transcript	85664086	85670255	85670254	SFTPB	True
ITGB6	NM_000888.5	transcript	160557538	160657754	160657753	ITGB6	True
ITGB6	NM_001282353.2	transcript	160557538	160657754	160657753	ITGB6	True
ITGB6	NM_001282354.2	transcript	160557538	160657754	160657753	ITGB6	True
ITGB6	NM_001282355.2	transcript	160557538	160657754	160657753	ITGB6	True
