gene	gene_group	chrom	strand	tss	is_baseline	half_width_bp	mark	replicate	contrast	eligible	effect	raw_mark_effect	H3_effect
SFTPC	AT2	chr8	+	22431327	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.5090631435881878	-1.281348396446668	0.22771474714151962
SFTPC	AT2	chr8	+	22431327	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.4199173829696805	0.07071434204306279	0.49063172501274344
SFTPC	AT2	chr8	+	22431327	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.1340217919212936	-1.9718191404347551	0.1622026514865385
SFTPC	AT2	chr8	+	22431327	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.6381767983490745	-0.6243354600357273	0.013841338313347138
SFTPC	AT2	chr8	+	22432423	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.1426711693587457	-2.6924825217993376	-0.5498113524405918
SFTPC	AT2	chr8	+	22432423	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.0221532650091243	-1.345594562385772	-0.3234412973766477
SFTPC	AT2	chr8	+	22432423	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.2240425222626348	-1.930115549663994	0.29392697259864126
SFTPC	AT2	chr8	+	22432423	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.7734973079240073	-0.6239410618884071	0.1495562460356001
SFTPC	AT2	chr8	+	22435720	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-3.4809107010090017	-3.172486458198731	0.30842424281027103
SFTPC	AT2	chr8	+	22435720	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.829043662183773	-1.863507225770148	-0.03446356358637503
SFTPC	AT2	chr8	+	22435720	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.3201052212171702	-0.934630082461114	0.3854751387560561
SFTPC	AT2	chr8	+	22435720	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.09810614510573379	0.21945734745800796	0.3175634925637417
SFTPC	AT2	chr8	+	22435742	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-3.3882550923998753	-3.0384449211072337	0.34981017129264175
SFTPC	AT2	chr8	+	22435742	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.7189713624248169	-1.6899179377579836	0.029053424666833447
SFTPC	AT2	chr8	+	22435742	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.3213303566669317	-0.9317733995178247	0.38955695714910654
SFTPC	AT2	chr8	+	22435742	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.09701843140250344	0.22045517098615255	0.3174736023886561
ABCA3	AT2	chr16	-	2363112	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.600756201289042	-1.8359282311990939	0.7648279700899481
ABCA3	AT2	chr16	-	2363112	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.6257669289459136	-1.3141683208621286	1.3115986080837851
ABCA3	AT2	chr16	-	2363112	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.9485892138110095	-2.096323451736166	0.8522657620748433
ABCA3	AT2	chr16	-	2363112	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.7338033008198916	-1.4098251859433435	1.3239781148765486
NKX2-1	AT2	chr14	-	30708839	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	0.27227808624175864	0.1541834300508052	-0.11809465619095331
NKX2-1	AT2	chr14	-	30708839	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.8471752295497774	-0.24740948447754715	0.5997657450722308
NKX2-1	AT2	chr14	-	30708839	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.7347934612334375	-0.35549838308754067	0.37929507814589714
NKX2-1	AT2	chr14	-	30708839	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.271788203019525	-0.6874853185924348	0.5843028844270901
NKX2-1	AT2	chr14	-	30709515	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	0.08888316817514408	-0.04675939142164695	-0.13564255959679097
NKX2-1	AT2	chr14	-	30709515	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.8191730336280472	-0.45506490920500176	0.36410812442304513
NKX2-1	AT2	chr14	-	30709515	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.9598991721274852	-0.5064676555631568	0.4534315165643286
NKX2-1	AT2	chr14	-	30709515	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.317297192077755	-0.768634604149142	0.5486625879286134
ETV5	AT2	chr3	-	188924867	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.9432396642930683	0.019803098907849575	0.9630427632009179
ETV5	AT2	chr3	-	188924867	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	0.4069554191593239	1.303072470161976	0.8961170510026522
ETV5	AT2	chr3	-	188924867	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.0784680293372881	-0.3260374443021505	0.7524305850351383
ETV5	AT2	chr3	-	188924867	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	0.1147129366770483	1.0619799054909234	0.9472669688138752
SFTPB	AT2	chr2	-	85670254	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-8.064947763713613	-8.611448300957761	-0.546500537244148
SFTPB	AT2	chr2	-	85670254	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-8.320977972872186	-8.326216864935027	-0.005238892062840954
SFTPB	AT2	chr2	-	85670254	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-7.807910545391877	-7.368843197265258	0.4390673481266189
SFTPB	AT2	chr2	-	85670254	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-7.535888832190146	-7.030141059932161	0.5057477722579854
SFTPB	AT2	chr2	-	85670796	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-8.762035217805446	-9.724970289722247	-0.9629350719168001
SFTPB	AT2	chr2	-	85670796	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-9.239688456492015	-9.43024060602643	-0.1905521495344163
SFTPB	AT2	chr2	-	85670796	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-7.847615678995278	-7.327768203717488	0.5198474752777896
SFTPB	AT2	chr2	-	85670796	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-7.5127872718840285	-6.981614035767291	0.531173236116737
AGER	AT1	chr6	-	32037443	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.9493067934733657	-0.8133822471448153	1.1359245463285506
AGER	AT1	chr6	-	32037443	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.3045091886940785	-2.716586694673904	-0.4120775059798253
AGER	AT1	chr6	-	32037443	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.009669546977506105	0.4203432258450906	0.43001277282259665
AGER	AT1	chr6	-	32037443	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.9657558926262975	-0.3478890113745463	0.6178668812517514
PDPN	AT1	chr1	+	13025716	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.079427974656264	-1.5802896363282493	0.499138338328015
PDPN	AT1	chr1	+	13025716	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.4476495937778795	-3.0505978887711076	1.3970517050067714
PDPN	AT1	chr1	+	13025716	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.8169254410307771	-1.470706353178397	0.34621908785238015
PDPN	AT1	chr1	+	13025716	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.400450131840188	-3.1821954252943225	1.218254706545865
PDPN	AT1	chr1	+	13025791	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.105051852932617	-1.6086708845574353	0.49638096837518136
PDPN	AT1	chr1	+	13025791	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.53514855914156	-3.039527400835506	1.4956211583060541
PDPN	AT1	chr1	+	13025791	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.8288440100658905	-1.470706353178397	0.3581376568874936
PDPN	AT1	chr1	+	13025791	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.416147838732296	-3.185974563151317	1.2301732755809787
PDPN	AT1	chr1	+	13026225	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.0959550951520827	-1.5315738278281688	0.5643812673239139
PDPN	AT1	chr1	+	13026225	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.511165775456543	-2.810083936624498	1.701081838832045
PDPN	AT1	chr1	+	13026225	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.893746751013745	-1.47721966240738	0.4165270886063649
PDPN	AT1	chr1	+	13026225	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.3655269592413015	-3.195760458012965	1.1697665012283374
PDPN	AT1	chr1	+	13027416	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.0329197671138552	-1.7998909987857101	0.23302876832814504
PDPN	AT1	chr1	+	13027416	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.446382686935492	-3.1014312380737343	1.3449514488617587
PDPN	AT1	chr1	+	13027416	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.0579830794951635	-1.4881580937003105	0.5698249857948532
PDPN	AT1	chr1	+	13027416	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-4.595966191607758	-3.170921858718342	1.4250443328894158
HOPX	AT1	chr4	-	60144363	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.760827320002003	-1.62335203274417	1.1374752872578335
HOPX	AT1	chr4	-	60144363	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.98303328119681	-1.8189907248072024	1.1640425563896082
HOPX	AT1	chr4	-	60144363	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.87579422478617	-2.3300250656918213	0.545769159094349
HOPX	AT1	chr4	-	60144363	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-3.1502817950229742	-2.415387910801082	0.734893884221892
HOPX	AT1	chr4	-	60145747	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.9315396748308404	-2.6702242916490815	-0.7386846168182408
HOPX	AT1	chr4	-	60145747	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.851250992877084	-2.9435594411211143	-0.09230844824402998
HOPX	AT1	chr4	-	60145747	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-2.800704587013914	-2.4532673732901267	0.3474372137237875
HOPX	AT1	chr4	-	60145747	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-3.349524446722643	-2.5708797677304345	0.7786446789922086
HOPX	AT1	chr4	-	60169118	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.8205607956628653	-0.5054558965992699	0.3151048990635954
HOPX	AT1	chr4	-	60169118	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.7163579286673536	-0.8794486608512521	-0.16309073218389844
HOPX	AT1	chr4	-	60169118	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.00883635667136	-0.8213603106408758	0.1874760460304844
HOPX	AT1	chr4	-	60169118	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.2307151073910587	-1.1054150013755513	0.12530010601550753
HOPX	AT1	chr4	-	60169528	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.6350054085691803	-0.6057157518085934	0.029289656760587448
HOPX	AT1	chr4	-	60169528	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.8866183883067964	-0.9182610626532105	-0.031642674346413664
HOPX	AT1	chr4	-	60169528	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.0055340683785414	-0.8200005226304652	0.1855335457480762
HOPX	AT1	chr4	-	60169528	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-1.089729960555979	-1.1072404511331273	-0.017510490577148496
CAV1	AT1	chr7	+	117840040	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.37616603631993417	-0.8110352959578555	-0.43486925963792117
CAV1	AT1	chr7	+	117840040	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.2980535795305483	-2.5253071801503992	-0.22725360061985037
CAV1	AT1	chr7	+	117840040	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.5407284766516938	-0.5645770823057981	-0.023848605654104058
CAV1	AT1	chr7	+	117840040	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.3500249512469433	-2.11142145125088	0.23860349999606376
CAV1	AT1	chr7	+	117840067	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.3689363955683338	-0.7997925930672947	-0.4308561974989609
CAV1	AT1	chr7	+	117840067	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.28670654077695	-2.5099470792578398	-0.22324053848089004
CAV1	AT1	chr7	+	117840067	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.5395134766075982	-0.5655389622935323	-0.026025485685934286
CAV1	AT1	chr7	+	117840067	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.3488099512028477	-2.112383331238614	0.23642661996423373
CAV1	AT1	chr7	+	117841395	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.3846867476297753	-0.3871185904173141	-0.00243184278753906
CAV1	AT1	chr7	+	117841395	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.506895802810939	-1.7434959983932803	0.7633998044176586
CAV1	AT1	chr7	+	117841395	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.5612180233607864	-0.5702981794943893	-0.009080156133602985
CAV1	AT1	chr7	+	117841395	False	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-2.279885754567824	-2.123438824471049	0.15644693009677477
AQP5	AT1	chr12	+	49924862	True	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	0.7311685952691018	0.939103217791456	0.20793462252235417
AQP5	AT1	chr12	+	49924862	True	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	0.10316781203727285	1.363664343899122	1.260496531861849
AQP5	AT1	chr12	+	49924862	True	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	0.00856740419504981	0.2934564885982042	0.2848890844031543
AQP5	AT1	chr12	+	49924862	True	5000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.4631926526299166	0.2602702629078115	0.723462915537728
KRT8	transition_stress	chr12	-	52869656	False	1000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-1.375409461066757	-0.005315770846339264	1.370093690220418
KRT8	transition_stress	chr12	-	52869656	False	1000	H3K27ac	CUT1	iATCs_minus_iAT1	True	-0.9776076094850628	0.16838601379406526	1.1459936232791277
KRT8	transition_stress	chr12	-	52869656	False	5000	H3K27ac	CUT1	iATCs_minus_iAT2	True	-0.3087440554421912	-0.026882644428665555	0.2818614110135264
