gene	gene_group	chrom	strand	tss	baseline_tss	is_baseline	transcript_count	transcript_ids	parent_gene_count
SFTPC	AT2	chr8	+	22431327	22431327	True	6	NM_001385654.1;NM_001385655.1;NM_001385656.1;NM_001385657.1;NM_001385658.1;NM_001385660.1	1
SFTPC	AT2	chr8	+	22432423	22431327	False	1	NM_001385659.1	1
SFTPC	AT2	chr8	+	22435720	22431327	False	1	XM_011544613.4	1
SFTPC	AT2	chr8	+	22435742	22431327	False	7	NM_001172357.2;NM_001172410.2;NM_001317778.2;NM_001317779.2;NM_001317780.2;NM_001385653.1;NM_003018.4	1
ABCA3	AT2	chr16	-	2363112	2363112	True	1	NM_001089.3	1
NKX2-1	AT2	chr14	-	30708839	30709515	False	1	NM_003317.4	1
NKX2-1	AT2	chr14	-	30709515	30709515	True	1	NM_001079668.3	1
ETV5	AT2	chr3	-	188924867	188924867	True	1	NM_004454.3	1
SFTPB	AT2	chr2	-	85670254	85670796	False	5	NM_000542.5;NM_001367281.1;XM_005264488.5;XM_005264490.5;XM_047445415.1	1
SFTPB	AT2	chr2	-	85670796	85670796	True	2	NM_198843.3;XM_047445414.1	1
AGER	AT1	chr6	-	32037443	32037443	True	13	NM_001136.5;NM_001206929.2;NM_001206932.2;NM_001206934.2;NM_001206936.2;NM_001206940.2;NM_001206954.2;NM_001206966.2;NM_172197.3;NR_038190.2;XM_017010328.3;XM_047418260.1;XM_047418261.1	1
PDPN	AT1	chr1	+	13025716	13025716	True	1	NM_198389.2	1
PDPN	AT1	chr1	+	13025791	13025716	False	1	NM_006474.5	1
PDPN	AT1	chr1	+	13026225	13025716	False	3	XM_006710295.2;XM_024451404.2;XM_047434471.1	1
PDPN	AT1	chr1	+	13027416	13025716	False	3	NM_001006624.2;NM_001006625.2;NM_001385053.1	1
HOPX	AT1	chr4	-	60144363	60169528	False	4	NM_001145459.2;NM_139211.5;XM_017008731.3;XM_017008734.2	1
HOPX	AT1	chr4	-	60145747	60169528	False	1	XM_017008730.3	1
HOPX	AT1	chr4	-	60169118	60169528	False	9	NM_001145460.2;NM_032495.6;NM_139212.4;XM_017008729.3;XM_017008732.2;XM_047416319.1;XM_047416320.1;XM_047416321.1;XM_047416322.1	1
HOPX	AT1	chr4	-	60169528	60169528	True	1	XM_017008728.2	1
CAV1	AT1	chr7	+	117840040	117840040	True	1	NM_001172895.1	1
CAV1	AT1	chr7	+	117840067	117840040	False	1	NM_001753.5	1
CAV1	AT1	chr7	+	117841395	117840040	False	2	NM_001172896.2;NM_001172897.2	1
AQP5	AT1	chr12	+	49924862	49924862	True	2	NM_001651.4;XM_005268838.3	1
KRT8	transition_stress	chr12	-	52869656	52914418	False	1	NM_002273.4	1
KRT8	transition_stress	chr12	-	52891056	52914418	False	1	NM_001256282.2	1
KRT8	transition_stress	chr12	-	52914418	52914418	True	2	NM_001256293.2;NR_045962.2	1
CLDN4	transition_stress	chr7	+	75031890	75031890	True	1	NM_001305.5	1
KRT19	transition_stress	chr17	-	42383868	42383868	True	1	NM_002276.5	1
CDKN1A	transition_stress	chr6	+	36497107	36497107	True	5	NM_001220777.2;NM_001291549.3;NM_001374509.1;NM_001374510.1;NM_078467.3	1
CDKN1A	transition_stress	chr6	+	36499358	36497107	False	7	NM_000389.5;NM_001220778.2;NM_001374511.1;NM_001374512.1;NM_001374513.1;NR_164655.1;NR_164656.1	1
SFN	transition_stress	chr1	+	26701223	26701223	True	1	NM_006142.5	1
ITGB6	transition_stress	chr2	-	160657753	160657753	True	7	NM_000888.5;NM_001282353.2;NM_001282354.2;NM_001282355.2;NM_001282388.2;NM_001282389.2;NM_001282390.2	1
KRT17	transition_stress	chr17	-	42480027	42480027	True	1	NM_000422.3	1
TP63	transition_stress	chr3	+	192413469	192413469	True	1	NM_001329964.2	1
TP63	transition_stress	chr3	+	192448079	192413469	False	5	NM_001114978.2;NM_001114979.2;NM_001329144.2;NM_001329148.2;NM_003722.5	1
TP63	transition_stress	chr3	+	192606306	192413469	False	7	NM_001114980.2;NM_001114981.2;NM_001114982.2;NM_001329145.2;NM_001329146.2;NM_001329149.2;NM_001329150.2	1
COL1A1	transition_stress	chr17	-	51068679	51068679	True	4	NM_000088.4;XM_005257058.5;XM_005257059.5;XM_011524341.2	1
ATF3	regulators	chr1	+	211810344	211810344	True	1	NM_001030287.4	1
ATF3	regulators	chr1	+	211851925	211810344	False	1	XM_011509579.2	1
ATF3	regulators	chr1	+	211853698	211810344	False	5	NM_001040619.3;NM_001206484.3;NM_001206488.3;NM_001674.4;XM_005273146.2	1
ATF3	regulators	chr1	+	211859954	211810344	False	1	NM_001206486.2	1
ATF3	regulators	chr1	+	211863906	211810344	False	1	XM_047421211.1	1
HNF1B	regulators	chr17	-	38732031	38732031	True	10	NM_000458.4;NM_001165923.4;NM_001304286.2;XM_011525160.1;XM_011525161.1;XM_011525162.3;XM_011525163.3;XM_011525164.1;XM_047436630.1;XM_047436631.1	1
TP53	regulators	chr17	-	7579367	7591593	False	6	NM_001126115.2;NM_001126116.2;NM_001126117.2;NM_001276697.3;NM_001276698.3;NM_001276699.3	1
TP53	regulators	chr17	-	7591593	7591593	True	9	NM_000546.6;NM_001126112.3;NM_001126113.3;NM_001126114.3;NM_001126118.2;NM_001276695.3;NM_001276696.3;NM_001276760.3;NM_001276761.3	1
CEBPA	regulators	chr19	-	35822305	35822305	True	4	NM_001285829.2;NM_001287424.2;NM_001287435.2;NM_004364.5	1
