feature_id	symbol	NCBI_name	mouse	genotype	logCPM_positive	logCPM_negative	difference
16420	Itgb6	Itgb6	WT4	WT	6.4021940892574	5.34731521619427	1.05487887306313
16420	Itgb6	Itgb6	Mutant2	Mutant	9.5757407112719	8.37855887629085	1.19718183498105
16420	Itgb6	Itgb6	Mutant1	Mutant	9.55643173349998	8.39891796973178	1.1575137637682
16420	Itgb6	Itgb6	WT2	WT	6.07926990772284	5.19818471881054	0.881085188912301
16420	Itgb6	Itgb6	Mutant4	Mutant	9.5299285084663	8.73545532014136	0.794473188324947
16420	Itgb6	Itgb6	Mutant3	Mutant	9.59973354591988	8.42006914779655	1.17966439812333
16420	Itgb6	Itgb6	WT1	WT	6.81037829101983	5.49331743967528	1.31706085134455
16420	Itgb6	Itgb6	WT3	WT	6.8367814787776	5.43233689159767	1.40444458717993
16691	Krt8	Krt8	Mutant2	Mutant	8.76186780025552	8.2931381421175	0.46872965813802
16691	Krt8	Krt8	Mutant4	Mutant	8.73890069131302	8.4462778922435	0.292622799069523
16691	Krt8	Krt8	Mutant3	Mutant	8.69613606855157	8.48340694463509	0.212729123916482
16691	Krt8	Krt8	Mutant1	Mutant	8.83202036746586	8.42261759690396	0.409402770561904
16691	Krt8	Krt8	WT1	WT	7.33110321986169	6.95859717569753	0.372506044164163
16691	Krt8	Krt8	WT2	WT	7.0546596804764	6.84759868324664	0.207060997229759
16691	Krt8	Krt8	WT4	WT	7.11740450721721	6.92184719150798	0.195557315709221
16691	Krt8	Krt8	WT3	WT	7.40363458533692	7.02275786279962	0.380876722537307
16669	Krt19	Krt19	WT4	WT	7.11544510085137	5.99767552150132	1.11776957935005
16669	Krt19	Krt19	Mutant2	Mutant	9.38149699970681	8.74699471537719	0.634502284329626
16669	Krt19	Krt19	WT1	WT	7.03713269759734	5.97885095916491	1.05828173843243
16669	Krt19	Krt19	Mutant4	Mutant	9.24672879311148	8.74963933983414	0.497089453277342
16669	Krt19	Krt19	Mutant3	Mutant	9.37823183935516	8.74341914658934	0.634812692765816
16669	Krt19	Krt19	Mutant1	Mutant	9.31969271823326	8.68664037442336	0.63305234380991
16669	Krt19	Krt19	WT2	WT	7.01148379880659	5.98179099161047	1.02969280719612
16669	Krt19	Krt19	WT3	WT	6.9831481707857	5.87066982471395	1.11247834607175
12740	Cldn4	Cldn4	Mutant4	Mutant	9.76314645747217	8.46193994315828	1.30120651431389
12740	Cldn4	Cldn4	Mutant3	Mutant	9.57045759460001	8.42217897528484	1.14827861931517
12740	Cldn4	Cldn4	Mutant2	Mutant	9.63211400766431	8.42048265654499	1.21163135111932
12740	Cldn4	Cldn4	WT1	WT	4.56392745572794	1.56819952659743	2.99572792913052
12740	Cldn4	Cldn4	WT2	WT	3.91793152002763	0.986641623783485	2.93128989624415
12740	Cldn4	Cldn4	WT4	WT	4.38400099581804	1.78375570298347	2.60024529283458
12740	Cldn4	Cldn4	Mutant1	Mutant	9.61004409179582	8.39307122523448	1.21697286656135
12740	Cldn4	Cldn4	WT3	WT	4.52011363528277	1.47570344070312	3.04441019457965
11596	Ager	Ager	Mutant3	Mutant	10.4185643971905	10.4613177033606	-0.0427533061700167
11596	Ager	Ager	WT1	WT	9.7297550424643	9.80642536931607	-0.0766703268517741
11596	Ager	Ager	Mutant4	Mutant	10.359715630507	10.6358426403176	-0.276127009810629
11596	Ager	Ager	Mutant2	Mutant	10.4831592368467	10.5376669788129	-0.0545077419662547
11596	Ager	Ager	Mutant1	Mutant	10.5653153522729	10.5554417515986	0.0098736006742719
11596	Ager	Ager	WT2	WT	9.91577456196619	9.84138476465526	0.0743897973109284
11596	Ager	Ager	WT3	WT	9.67741093271002	9.76149033420975	-0.0840794014997233
11596	Ager	Ager	WT4	WT	9.84356380913098	9.59010202422663	0.253461784904353
20389	Sftpc	Sftpc	Mutant3	Mutant	12.7460729258671	13.5032516168549	-0.757178690987731
20389	Sftpc	Sftpc	Mutant2	Mutant	12.8084300329132	13.5510144273193	-0.742584394406117
20389	Sftpc	Sftpc	WT1	WT	15.568505313314	16.3966161561633	-0.82811084284929
20389	Sftpc	Sftpc	WT3	WT	15.5756919187759	16.1175894972998	-0.541897578523875
20389	Sftpc	Sftpc	WT4	WT	15.5298445529716	16.1885286291197	-0.658684076148083
20389	Sftpc	Sftpc	Mutant1	Mutant	12.7844524719426	13.5534065215466	-0.768954049603968
20389	Sftpc	Sftpc	WT2	WT	16.1499739455281	16.3972011287037	-0.247227183175632
20389	Sftpc	Sftpc	Mutant4	Mutant	12.4737122989398	13.4386134547311	-0.964901155791267
12575	Cdkn1a	Cdkn1a	Mutant3	Mutant	8.48609513069776	8.13374847257427	0.352346658123491
12575	Cdkn1a	Cdkn1a	Mutant4	Mutant	8.52893617705304	8.13484481997062	0.394091357082418
12575	Cdkn1a	Cdkn1a	Mutant2	Mutant	8.52731141413634	8.18645011046927	0.340861303667067
12575	Cdkn1a	Cdkn1a	Mutant1	Mutant	8.55493582468914	8.13434321468088	0.42059261000826
12575	Cdkn1a	Cdkn1a	WT1	WT	6.97942114566462	6.5675784746936	0.411842670971027
12575	Cdkn1a	Cdkn1a	WT3	WT	6.91825764628285	6.6537636906277	0.264493955655152
12575	Cdkn1a	Cdkn1a	WT4	WT	7.03894416954284	6.84043842600681	0.198505743536036
12575	Cdkn1a	Cdkn1a	WT2	WT	6.66486026013254	6.67842886274469	-0.0135686026121462
