series,library,arm,gene,det_DATP_like,det_AT2,difference
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Epcam,0.9656,0.9265,0.0391
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Epcam,0.982,0.8943,0.0877
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Epcam,0.6674,0.6456,0.0218
GSE316244,Expt3_Het_RFP,Areg-flox/+,Epcam,0.9912,0.9249,0.0663
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Epcam,0.9896,0.9108,0.0788
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Adam17,0.3828,0.3864,-0.0036
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Adam17,0.2076,0.2973,-0.0897
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Adam17,0.1651,0.1315,0.0336
GSE316244,Expt3_Het_RFP,Areg-flox/+,Adam17,0.4363,0.5749,-0.1386
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Adam17,0.4803,0.5621,-0.0818
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Rhbdf1,0.3391,0.2089,0.1302
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Rhbdf1,0.2116,0.1672,0.0444
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Rhbdf1,0.1442,0.0793,0.0649
GSE316244,Expt3_Het_RFP,Areg-flox/+,Rhbdf1,0.2544,0.2112,0.0432
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Rhbdf1,0.2949,0.173,0.1219
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Rhbdf2,0.4531,0.2997,0.1534
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Rhbdf2,0.2355,0.2317,0.0038
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Rhbdf2,0.2744,0.1315,0.1429
GSE316244,Expt3_Het_RFP,Areg-flox/+,Rhbdf2,0.5026,0.4749,0.0277
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Rhbdf2,0.6061,0.4427,0.1634
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Timp3,0.0953,0.4954,-0.4001
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Timp3,0.0539,0.3227,-0.2688
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Timp3,0.0047,0.1195,-0.1148
GSE316244,Expt3_Het_RFP,Areg-flox/+,Timp3,0.1482,0.5825,-0.4343
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Timp3,0.1184,0.5888,-0.4704
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Areg,0.9703,0.7132,0.2571
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Areg,0.9741,0.5432,0.4309
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Areg,0.893,0.3143,0.5787
GSE316244,Expt3_Het_RFP,Areg-flox/+,Areg,0.9887,0.6945,0.2942
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Areg,0.9523,0.3066,0.6457
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Krt8,0.9734,0.9272,0.0462
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Krt8,0.976,0.8572,0.1188
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Krt8,0.8581,0.7048,0.1533
GSE316244,Expt3_Het_RFP,Areg-flox/+,Krt8,0.996,0.9478,0.0482
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Krt8,0.9963,0.9138,0.0825
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,Cldn4,0.9141,0.211,0.7031
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,Cldn4,0.9521,0.2886,0.6635
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,Cldn4,0.7558,0.0602,0.6956
GSE316244,Expt3_Het_RFP,Areg-flox/+,Cldn4,0.9191,0.3416,0.5775
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,Cldn4,0.927,0.0922,0.8348
