accession,gene_short_name,tracking_id,gene_id,locus,FPKM,FPKM_lo,FPKM_hi,status
GSM2943007,Actb,Actb,Actb,chr5:142903115-142906724,2149.43,2098.34,2200.52,OK
GSM2943007,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943007,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943007,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,71.746,66.0584,77.4336,OK
GSM2943007,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,247.151,237.085,257.218,OK
GSM2943007,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943007,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,41.3146,32.2008,50.4283,OK
GSM2943007,Mgp,Mgp,Mgp,chr6:136872434-136875805,3953.17,3806.37,4099.97,OK
GSM2943007,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,23.258,20.5312,25.9848,OK
GSM2943007,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943007,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943007,Ppia,Ppia,Ppia,chr11:6415869-6419810,288.774,254.869,322.679,OK
GSM2943007,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943007,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,5.27331,0.96767,9.57894,OK
GSM2943007,Ubc,Ubc,Ubc,chr5:125385964-125390017,599.403,575.857,622.948,OK
GSM2943007,Wls,Wls,Wls,chr3:159839694-159935175,136.37,125.956,146.784,OK
GSM2943007,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943007,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943007,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943007,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,0,0,0,OK
GSM2943007,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943007,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943007,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,7.98455,5.79103,10.1781,OK
GSM2943007,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943007,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943007,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943007,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,266.128,253.751,278.505,OK
GSM2943007,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0,0,0,OK
GSM2943007,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943007,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943007,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943007,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943007,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943007,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943007,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943008,Actb,Actb,Actb,chr5:142903115-142906724,1921.91,1872.02,1971.8,OK
GSM2943008,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943008,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943008,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,54.4,49.2853,59.5147,OK
GSM2943008,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,196.032,186.773,205.291,OK
GSM2943008,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943008,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,5.27121,1.90927,8.63315,OK
GSM2943008,Mgp,Mgp,Mgp,chr6:136872434-136875805,3502.27,3359.57,3644.97,OK
GSM2943008,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,0,0,0,OK
GSM2943008,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943008,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943008,Ppia,Ppia,Ppia,chr11:6415869-6419810,190.347,161.919,218.775,OK
GSM2943008,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943008,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,4.68681,0.4948,8.87882,OK
GSM2943008,Ubc,Ubc,Ubc,chr5:125385964-125390017,1008.06,976.522,1039.59,OK
GSM2943008,Wls,Wls,Wls,chr3:159839694-159935175,60.5323,53.246,67.8187,OK
GSM2943008,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943008,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943008,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943008,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,0,0,0,OK
GSM2943008,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943008,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943008,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,0,0,0,OK
