ligand,receptor
JAG2,NOTCH1
DLL1,NOTCH1
IGF1,IGF1R
JAG1,NOTCH1
WNT5A,FZD2
EPO,EPOR
CXCL16,CXCR6
TNFSF10,TNFRSF10C
IGF2,IGF2R
FLT3LG,FLT3
KITLG,KIT
IGF2,IGF1R
CXCL9,CXCR3
CCL5,CCR5
CCL8,CCR5
CCL4,CCR5
EGF,EGFR
WNT5A,FZD5
TNFSF14,LTBR
CD40LG,CD40
LTA,TNFRSF1A
LTB,LTBR
NGF,NTRK1
CXCL10,CXCR3
CSF1,CSF1R
CSF3,CSF3R
HGF,MET
INS,INSR
TNFSF9,TNFRSF9
CD70,CD27
FASLG,FAS
TNFSF10,TNFRSF10D
TNFSF10,TNFRSF10B
TNFSF10,TNFRSF10A
GNRH1,GNRHR
WNT5A,ROR2
CXCL11,CXCR3
CD28,CD80
CD28,CD86
TGFB1,TGFBR3
IL13,IL13RA2
PRL,PRLR
GH1,PRLR
GH1,GHR
IL15,IL15RA
NRG3,ERBB4
NRG1,ERBB4
AREG,EGFR
NRG4,ERBB4
DLL4,NOTCH4
JAG1,NOTCH2
JAG2,NOTCH2
JAG2,NOTCH3
DLL3,NOTCH1
DLL4,NOTCH1
PDGFC,PDGFRA
PDGFA,PDGFRA
PDGFB,PDGFRA
FGF1,FGFR1
EFNA1,EPHA1
EFNA2,EPHA2
EFNA5,EPHA5
EFNA5,EPHA7
EFNA1,EPHA8
EFNA1,EPHA4
EFNA5,EPHA4
EFNA1,EPHA2
EFNA1,EPHA5
WNT3A,RYK
GAS6,AXL
GAS6,MERTK
DLL1,NOTCH2
THPO,MPL
NRG2,ERBB4
LEP,LEPR
BTC,EGFR
BTC,ERBB4
HBEGF,ERBB4
DLL3,NOTCH2
WNT2,FZD9
WNT7A,FZD5
CCN3,NOTCH1
PDGFD,PDGFRB
MST1,MST1R
BDNF,NTRK2
NTF3,NTRK3
EFNA4,EPHA4
EFNB1,EPHB1
EFNA1,EPHA7
EFNA2,EPHA7
EFNA3,EPHA7
EFNA4,EPHA7
EFNA2,EPHA8
EFNA3,EPHA8
EFNA4,EPHA8
EFNA5,EPHA8
EFNA4,EPHA2
EFNA2,EPHA5
EFNA3,EPHA5
EFNA4,EPHA5
EFNB1,EPHB2
EFNB1,EPHB3
PTN,ALK
MDK,ALK
WNT5A,ROR1
WNT1,RYK
ALOX5,ALOX5AP
CXCL12,ACKR3
CXCL11,ACKR3
CCL19,ACKR4
CCL21,ACKR4
CCL25,ACKR4
ADM,CALCR
ADM2,CALCR
CALCA,CALCR
IAPP,CALCR
CALCB,CALCR
APLN,APLNR
APELA,APLNR
AGT,AGTR1
AGT,AGTR2
PROS1,AXL
TNFSF13B,TNFRSF13C
GRP,GRPR
TNFSF13,TNFRSF17
TNFSF13B,TNFRSF17
KNG1,BDKRB1
C3,C3AR1
C5,C5AR1
RPS19,C5AR1
C5,C5AR2
CCK,CCKAR
GAST,CCKBR
CCK,CCKBR
CCL13,CCR1
CCL8,CCR1
CCL14,CCR1
CCL15,CCR1
CCL23,CCR1
CCL3,CCR1
CCL5,CCR1
CCL7,CCR1
CCL27,CCR10
CCL28,CCR10
CCL13,CCR2
CCL16,CCR2
CCL2,CCR2
CCL7,CCR2
CCL8,CCR2
CCL11,CCR2
CCL24,CCR2
CCL26,CCR2
CCL11,CCR3
CCL13,CCR3
CCL15,CCR3
CCL24,CCR3
CCL26,CCR3
CCL28,CCR3
CCL5,CCR3
CCL7,CCR3
CCL8,CCR3
CCL17,CCR4
CCL22,CCR4
CCL3,CCR5
CCL7,CCR5
CCL20,CCR6
CCL19,CCR7
CCL21,CCR7
CCL1,CCR8
CCL25,CCR9
CCL19,CCRL2
TNFSF8,TNFRSF8
RARRES2,CMKLR1
RARRES2,CMKLR2
