ligand,receptor
JAG2,NOTCH1
DLL1,NOTCH1
IGF1,IGF1R
JAG1,NOTCH1
WNT5A,FZD2
EPO,EPOR
CXCL16,CXCR6
IGF2,IGF2R
FLT3LG,FLT3
KITLG,KIT
IGF2,IGF1R
CXCL9,CXCR3
CCL5,CCR5
CCL4,CCR5
EGF,EGFR
WNT5A,FZD5
TNFSF14,LTBR
CD40LG,CD40
LTA,TNFRSF1A
NGF,NTRK1
IL4,IL4R
TGFA,EGFR
CXCL10,CXCR3
CSF1,CSF1R
CSF3,CSF3R
HGF,MET
TNF,TNFRSF1B
INS,INSR
TNFSF9,TNFRSF9
CD70,CD27
FASLG,FAS
TNFSF10,TNFRSF10A
TNF,TNFRSF1A
GNRH1,GNRHR
CXCL11,CXCR3
CD80,CD28
CD86,CD28
IL1B,IL1R2
IL13,IL13RA1
IL13,IL13RA2
PRL,PRLR
GH1,PRLR
GH1,GHR
NRG3,ERBB4
NRG1,ERBB4
AREG,EGFR
HBEGF,EGFR
NRG4,ERBB4
DLL4,NOTCH4
JAG1,NOTCH2
JAG2,NOTCH2
JAG2,NOTCH3
DLL3,NOTCH1
WNT5A,FZD4
DLL4,NOTCH1
PDGFC,PDGFRA
PDGFA,PDGFRA
PDGFB,PDGFRA
FGF1,FGFR1
FGF1,FGFR2
FGF2,FGFR2
FGF3,FGFR2
FGF4,FGFR2
FGF7,FGFR2
FGF8,FGFR2
FGF10,FGFR2
VEGFB,FLT1
EFNA1,EPHA1
EFNA2,EPHA2
EFNA5,EPHA5
EFNB3,EPHB3
EFNA5,EPHA7
EFNA1,EPHA8
EFNA1,EPHA4
EFNA5,EPHA4
EFNA1,EPHA2
EFNA1,EPHA3
EFNA5,EPHA3
EFNA1,EPHA5
EFNB2,EPHB4
ANGPT2,TEK
ANGPT1,TEK
GAS6,AXL
GAS6,MERTK
DLL1,NOTCH2
THPO,MPL
NRG2,ERBB3
NRG2,ERBB4
LEP,LEPR
NRG1,ERBB3
BTC,EGFR
BTC,ERBB4
HBEGF,ERBB4
DLL3,NOTCH2
PDGFD,PDGFRB
FGF6,FGFR2
FGF17,FGFR2
FGF18,FGFR2
FGF22,FGFR2
FGF9,FGFR3
BDNF,NTRK2
NTF3,NTRK3
EFNA3,EPHA3
EFNA4,EPHA4
EFNB1,EPHB1
EFNB2,EPHB2
EFNA1,EPHA7
EFNA2,EPHA7
EFNA3,EPHA7
EFNA4,EPHA7
EFNA2,EPHA8
EFNA3,EPHA8
EFNA4,EPHA8
EFNA5,EPHA8
EFNA4,EPHA2
EFNA4,EPHA3
EFNA2,EPHA5
EFNA3,EPHA5
EFNA4,EPHA5
EFNB2,EPHB1
EFNB1,EPHB2
EFNB1,EPHB3
EFNB2,EPHB3
PTN,ALK
MDK,ALK
CXCL12,ACKR3
CXCL11,ACKR3
CCL19,ACKR4
CCL21,ACKR4
CCL25,ACKR4
ADM,CALCRL
CALCA,CALCRL
CALCB,CALCRL
ADM,CALCR
CALCA,CALCR
IAPP,CALCR
CALCB,CALCR
APLN,APLNR
APELA,APLNR
AGT,AGTR1
PROS1,AXL
TNFSF13B,TNFRSF13C
NMB,NMBR
GRP,GRPR
TNFSF13,TNFRSF17
TNFSF13B,TNFRSF17
KNG1,BDKRB1
KNG1,BDKRB2
C3,C3AR1
C5,C5AR1
CCK,CCKAR
CCK,CCKBR
CCL13,CCR1
CCL8,CCR1
CCL14,CCR1
CCL15,CCR1
CCL23,CCR1
CCL3,CCR1
CCL5,CCR1
CCL7,CCR1
CCL27,CCR10
CCL28,CCR10
CCL2,CCR2
CCL7,CCR2
CCL8,CCR2
CCL11,CCR3
CCL24,CCR3
CCL26,CCR3
CCL28,CCR3
CCL5,CCR3
CCL7,CCR3
CCL17,CCR4
CCL22,CCR4
