gene	module	in_D	in_I	in_L	core_all_three	in_AT1_published_400	in_AT2_published_400	in_HALLMARK_P53_PATHWAY	in_HALLMARK_HYPOXIA	in_HALLMARK_INFLAMMATORY_RESPONSE
Actn1	shared_remodelling	False	True	True	False	False	False	False	False	False
Areg	shared_remodelling	True	True	False	False	False	False	False	False	False
Bax	shared_remodelling	False	True	True	False	False	False	True	False	False
Cxcl16	shared_remodelling	False	True	True	False	True	False	False	False	False
Gdf15	shared_remodelling	False	True	True	False	False	False	False	False	False
Itgb6	shared_remodelling	True	True	False	False	True	False	False	False	False
Klf6	shared_remodelling	False	True	True	False	True	False	False	True	True
Lamc2	shared_remodelling	True	True	False	False	True	False	False	False	False
Ly6a	shared_remodelling	False	True	True	False	False	False	False	False	False
Nars	shared_remodelling	False	True	True	False	False	False	False	False	False
Ndnf	shared_remodelling	True	True	False	False	True	False	False	False	False
S100a14	shared_remodelling	True	True	False	False	True	False	False	False	False
2210011C24Rik	development_specific	True	False	False	False	False	False	False	False	False
2310007B03Rik	development_specific	True	False	False	False	True	False	False	False	False
9330182L06Rik	development_specific	True	False	False	False	False	True	False	False	False
AA986860	development_specific	True	False	False	False	True	False	False	False	False
Akap5	development_specific	True	False	False	False	True	False	False	False	False
Akr1c14	development_specific	True	False	False	False	False	False	False	False	False
Ano1	development_specific	True	False	False	False	True	False	False	False	False
Aqp5	development_specific	True	False	False	False	True	True	False	False	False
Atp6v0a4	development_specific	True	False	False	False	False	False	False	False	False
Atp7b	development_specific	True	False	False	False	False	False	False	False	False
Ccdc120	development_specific	True	False	False	False	False	False	False	False	False
Cdcp1	development_specific	True	False	False	False	False	False	False	False	False
Cdkn2b	development_specific	True	False	False	False	True	False	True	False	False
Cds1	development_specific	True	False	False	False	False	False	False	False	False
Cecr2	development_specific	True	False	False	False	False	False	False	False	False
Cep170b	development_specific	True	False	False	False	False	False	False	False	False
Cgn	development_specific	True	False	False	False	True	False	False	False	False
Clip4	development_specific	True	False	False	False	True	False	False	False	False
Cobl	development_specific	True	False	False	False	False	False	False	False	False
Col4a3	development_specific	True	False	False	False	True	False	False	False	False
Col4a4	development_specific	True	False	False	False	True	False	False	False	False
Col4a5	development_specific	True	False	False	False	True	False	False	False	False
Crb3	development_specific	True	False	False	False	True	False	False	False	False
