cluster,n_cells,call,mode_fraction,confident,n_libraries,max_library_fraction
0,11031,AT2,0.999,True,10,0.352
1,3045,AT2,0.983,True,10,0.301
2,7359,AT2,0.998,True,10,0.369
3,3104,AT2,0.942,True,10,0.443
4,421,AT1_like,0.487,False,10,0.304
5,2255,AT2,0.867,True,10,0.358
6,2522,DATP_like,0.697,True,8,0.42
7,138,AT2,0.667,True,8,0.326
8,421,AT2,0.622,True,10,0.173
9,967,Cd177_positive,0.384,False,10,0.303
10,173,AT2,0.618,True,10,0.243
11,1422,Cd177_positive,0.546,True,10,0.421
12,175,AT1_like,0.446,False,10,0.246
13,184,AT2,0.538,True,10,0.451
