module,mouse_symbol,human_symbol,mapped
HPCS_author_top100,Slc4a11,SLC4A11,True
HPCS_author_top100,Il23a,IL23A,True
HPCS_author_top100,Rrad,RRAD,True
HPCS_author_top100,Tnf,TNF,True
HPCS_author_top100,Abtb2,ABTB2,True
HPCS_author_top100,Lif,LIF,True
HPCS_author_top100,Tnfrsf11b,TNFRSF11B,True
HPCS_author_top100,Tigit,TIGIT,True
HPCS_author_top100,Dusp10,DUSP10,True
HPCS_author_top100,Ntm,NTM,True
HPCS_author_top100,Trim15,TRIM15,True
HPCS_author_top100,Tm4sf1,TM4SF1,True
HPCS_author_top100,Chac1,CHAC1,True
HPCS_author_top100,Creb5,CREB5,True
HPCS_author_top100,5031415H12Rik,,False
HPCS_author_top100,Cxcl1,,False
HPCS_author_top100,Mcpt8,,False
HPCS_author_top100,Trp53inp1,TP53INP1,True
HPCS_author_top100,Abcg1,ABCG1,True
HPCS_author_top100,Mapk11,MAPK11,True
HPCS_author_top100,Klhl2,KLHL2,True
HPCS_author_top100,Il24,IL24,True
HPCS_author_top100,Zfand2a,ZFAND2A,True
HPCS_author_top100,Tspan5,TSPAN5,True
HPCS_author_top100,Ddit3,DDIT3,True
HPCS_author_top100,Ascc3,ASCC3,True
HPCS_author_top100,Sgms2,SGMS2,True
HPCS_author_top100,Grpel2,GRPEL2,True
HPCS_author_top100,Gdf15,GDF15,True
HPCS_author_top100,Dennd2c,DENND2C,True
HPCS_author_top100,Ly6a,,False
HPCS_author_top100,Slc9a4,SLC9A4,True
HPCS_author_top100,Asns,ASNS,True
HPCS_author_top100,Ets1,ETS1,True
HPCS_author_top100,Ugcg,UGCG,True
HPCS_author_top100,Gcnt2,GCNT2,True
HPCS_author_top100,Rnf19b,RNF19B,True
HPCS_author_top100,Pvt1,,False
HPCS_author_top100,3110043O21Rik,,False
HPCS_author_top100,Cln8,CLN8,True
HPCS_author_top100,Hmces,HMCES,True
HPCS_author_top100,Maff,MAFF,True
HPCS_author_top100,Tnfaip3,TNFAIP3,True
HPCS_author_top100,Prkx,PRKX,True
HPCS_author_top100,Tgfa,TGFA,True
HPCS_author_top100,Pxdc1,PXDC1,True
HPCS_author_top100,Cdk17,CDK17,True
HPCS_author_top100,Slc1a4,SLC1A4,True
HPCS_author_top100,Arid5a,ARID5A,True
HPCS_author_top100,Cldn4,,False
HPCS_author_top100,Iars,,False
HPCS_author_top100,Ptgs2,PTGS2,True
HPCS_author_top100,Relb,RELB,True
HPCS_author_top100,Mxd1,MXD1,True
HPCS_author_top100,Ppp1r13l,PPP1R13L,True
HPCS_author_top100,Btg1,,False
HPCS_author_top100,Slc38a2,SLC38A2,True
HPCS_author_top100,Sema7a,SEMA7A,True
HPCS_author_top100,Smcr8,SMCR8,True
HPCS_author_top100,Cwh43,CWH43,True
HPCS_author_top100,Aaed1,,False
HPCS_author_top100,B930095G15Rik,,False
HPCS_author_top100,Pvr,PVR,True
HPCS_author_top100,Fbxo30,FBXO30,True
HPCS_author_top100,Zdhhc5,ZDHHC5,True
HPCS_author_top100,Chrnb1,CHRNB1,True
HPCS_author_top100,Rhbdf2,RHBDF2,True
HPCS_author_top100,Fam50a,FAM50A,True
HPCS_author_top100,Cxcl16,CXCL16,True
HPCS_author_top100,Itga2,ITGA2,True
HPCS_author_top100,Hs3st1,HS3ST1,True
HPCS_author_top100,Trib1,TRIB1,True
HPCS_author_top100,Tgif1,TGIF1,True
HPCS_author_top100,B3gnt2,B3GNT2,True
HPCS_author_top100,Rdh10,RDH10,True
HPCS_author_top100,Rhob,RHOB,True
HPCS_author_top100,Gm28048,,False
HPCS_author_top100,Chmp4c,CHMP4C,True
HPCS_author_top100,Chic2,CHIC2,True
HPCS_author_top100,Klf6,KLF6,True
HPCS_author_top100,Bcl10,BCL10,True
HPCS_author_top100,2610035D17Rik,,False
HPCS_author_top100,Gm10157,,False
HPCS_author_top100,Cars,,False
HPCS_author_top100,Bax,BAX,True
HPCS_author_top100,Agap1,,False
HPCS_author_top100,Llph-ps2,,False
HPCS_author_top100,Otud4,OTUD4,True
HPCS_author_top100,Prkca,PRKCA,True
HPCS_author_top100,AI413582,,False
HPCS_author_top100,Procr,PROCR,True
HPCS_author_top100,9930111J21Rik1,,False
HPCS_author_top100,Fam83g,FAM83G,True
HPCS_author_top100,Ocln,OCLN,True
HPCS_author_top100,1810013L24Rik,,False
HPCS_author_top100,Otud7b,OTUD7B,True
HPCS_author_top100,Actn1,ACTN1,True
HPCS_author_top100,Gtpbp4,GTPBP4,True
HPCS_author_top100,Nars,,False
HPCS_author_top100,Pik3c2a,PIK3C2A,True
HPCS_excluding_operational_markers,Il23a,IL23A,True
HPCS_excluding_operational_markers,Rrad,RRAD,True
HPCS_excluding_operational_markers,Tnf,TNF,True
HPCS_excluding_operational_markers,Abtb2,ABTB2,True
HPCS_excluding_operational_markers,Lif,LIF,True
HPCS_excluding_operational_markers,Tnfrsf11b,TNFRSF11B,True
