patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
3,AIS,AT2,AT2,subtype,773,1793891,GSM9237902,1,0.3,pooled,unc30_pooled_0001
3,AIS,Adventitial fibroblasts,fibroblasts,subtype,33,54822,GSM9237902,1,0.3,pooled,unc30_pooled_0002
3,AIS,Alveolar fibroblasts,fibroblasts,subtype,173,268857,GSM9237902,1,0.3,pooled,unc30_pooled_0003
3,AIS,Alveolar macrophages,macrophages,subtype,2,5606,GSM9237902,1,0.3,pooled,unc30_pooled_0004
3,AIS,Monocyte-derived Mph,macrophages,subtype,85,194089,GSM9237902,1,0.3,pooled,unc30_pooled_0020
3,LUAD,AT2,AT2,subtype,344,1086108,GSM9237903,1,0.3,pooled,unc30_pooled_0028
3,LUAD,Adventitial fibroblasts,fibroblasts,subtype,13,20549,GSM9237903,1,0.3,pooled,unc30_pooled_0029
3,LUAD,Alveolar fibroblasts,fibroblasts,subtype,123,191308,GSM9237903,1,0.3,pooled,unc30_pooled_0030
3,LUAD,Alveolar macrophages,macrophages,subtype,1,5737,GSM9237903,1,0.3,pooled,unc30_pooled_0031
3,LUAD,Monocyte-derived Mph,macrophages,subtype,55,145050,GSM9237903,1,0.3,pooled,unc30_pooled_0046
3,LUAD,Myofibroblasts,fibroblasts,subtype,1,1476,GSM9237903,1,0.3,pooled,unc30_pooled_0048
3,normal,AT2,AT2,subtype,169,301251,GSM9237901,1,0.3,pooled,unc30_pooled_0061
3,normal,Adventitial fibroblasts,fibroblasts,subtype,17,33460,GSM9237901,1,0.3,pooled,unc30_pooled_0062
3,normal,Alveolar fibroblasts,fibroblasts,subtype,130,187672,GSM9237901,1,0.3,pooled,unc30_pooled_0063
3,normal,Alveolar macrophages,macrophages,subtype,2,14402,GSM9237901,1,0.3,pooled,unc30_pooled_0064
3,normal,Interstitial Mph perivascular,macrophages,subtype,2,2791,GSM9237901,1,0.3,pooled,unc30_pooled_0075
3,normal,Monocyte-derived Mph,macrophages,subtype,52,102369,GSM9237901,1,0.3,pooled,unc30_pooled_0079
3,normal,Myofibroblasts,fibroblasts,subtype,1,1473,GSM9237901,1,0.3,pooled,unc30_pooled_0081
