gene,in_generic_union,HALLMARK_HYPOXIA,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_P53_PATHWAY,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_E2F_TARGETS,HALLMARK_G2M_CHECKPOINT,Immediate_early_AP1_panel
Plaur,True,True,True,False,True,False,False,False
Edn1,True,False,True,False,True,False,False,False
Basp1,False,False,False,False,False,False,False,False
Sprr1a,False,False,False,False,False,False,False,False
Nupr1,True,False,False,True,False,False,False,False
Polk,False,False,False,False,False,False,False,False
Mdm2,True,False,False,True,False,False,False,False
Ddit3,True,True,False,True,False,False,False,False
Emp1,False,False,False,False,False,False,False,False
Hspb1,False,False,False,False,False,False,False,False
Ppp1r15a,True,True,False,True,True,False,False,False
Cald1,False,False,False,False,False,False,False,False
Sema3c,False,False,False,False,False,False,False,False
Rap2b,True,False,False,True,False,False,False,False
F3,True,True,True,False,True,False,False,False
Tnip3,False,False,False,False,False,False,False,False
1600029D21Rik,False,False,False,False,False,False,False,False
Litaf,True,False,False,False,True,False,False,False
Tuft1,False,False,False,False,False,False,False,False
Gcnt2,True,True,False,False,False,False,False,False
Ifrd1,False,False,False,False,False,False,False,False
Gsto1,False,False,False,False,False,False,False,False
Fn1,False,False,False,False,False,False,False,False
Ddx39,False,False,False,False,False,False,False,False
Perp,True,False,False,True,False,False,False,False
Sqstm1,True,False,False,False,True,False,False,False
Pmepa1,True,False,False,False,True,False,False,False
Ier5,True,False,False,True,True,False,False,False
Cast,False,False,False,False,False,False,False,False
Esd,False,False,False,False,False,False,False,False
Atf3,True,True,False,True,True,False,False,True
Capg,False,False,False,False,False,False,False,False
Egr1,True,False,False,False,True,False,False,True
Galnt3,False,False,False,False,False,False,False,False
Gnl3,False,False,False,False,False,False,False,False
Cd44,True,False,False,False,True,False,False,False
Tpm2,False,False,False,False,False,False,False,False
Anxa8,False,False,False,False,False,False,False,False
Mt2,False,False,False,False,False,False,False,False
AW112010,False,False,False,False,False,False,False,False
Gadd45a,True,False,False,True,True,False,False,False
Ctsl,False,False,False,False,False,False,False,False
Tuba1c,False,False,False,False,False,False,False,False
Smim15,False,False,False,False,False,False,False,False
Ly6a,False,False,False,False,False,False,False,False
Rnf11,False,False,False,False,False,False,False,False
Cdcp1,False,False,False,False,False,False,False,False
Pno1,False,False,False,False,False,False,False,False
Marcks,True,False,False,False,True,False,True,False
Gclm,False,False,False,False,False,False,False,False
